ICAO,IATA,Name,Municipality,Country,
HTZA,ZNZ,Abeid Amani Karume International Airport,Zanzibar,Tanzania,"-6.220284583201797, 39.22146962758075"
HAAB,ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,"8.983809087996685, 38.796252754347755"
DNAI,QUO,Akwa Ibom International Airport,Uyo,Nigeria,"4.871634376622062, 8.089635554348654"
GVAC,SID,Amílcar Cabral International Airport,Espargos,Cape Verde,"16.734599037391142, -22.944029945632096"
GOBD,DSS,Diass-Thies Blaise Diagne International Airport,Dakar,Senegal,"14.670875047841601, -17.06740114564025"
HECA,CAI,Cairo International Airport,Cairo,Egypt,"30.111973943748385, 31.396391754469953"
FACT,CPT,Cape Town International Airport,Cape Town,South Africa,"-1.662359606804263, 24.13472429192715"
DRRN,NIM,Diori Hamani International Airport,Niamey,Niger,"13.47708565732656, 2.1787305543559334"
DTNH,NBE,Enfidha - Hammamet International Airport,Enfidha,Tunisia,"36.083476521334184, 10.438636454541548"
HUEN,EBB,Entebbe International Airport,Kampala,Uganda,"0.045129457636093384, 32.44261995436035"
FAGG,GRJ,George Airport,George,South Africa,"32.48961583045498, -126.2410233820252"
FYWH,WDH,Hosea Kutako International Airport,Windhoek,Namibia,"-22.48706965906864, 17.46309205455838"
DAAG,ALG,Algiers Houari Boumediene Airport,Algiers,Algeria,"36.698089584640435, 3.207623654549755"
HEGN,HRG,Hurghada International Airport,Hurghada,Egypt,"27.18051307115721, 33.8075123544404"
FMMI,TNR,Ivato Airport,Antananarivo,Madagascar,"-18.799342574276572, 47.475256154510134"
HKJK,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,"-1.324998922427788, 36.918776246998775"
HSSJ,JUB,Juba International Airport,Juba,South Sudan,"4.866214876798235, 31.601683054348563"
HTDA,DAR,Julius Nyerere International Airport,Dar es Salaam,Tanzania,"-6.872517591535115, 39.20686275439625"
FLKK,LUN,Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,"-15.324934694651445, 28.449207354470488"
HSSS,KRT,Khartoum International Airport,Khartoum,Sudan,"15.592787257134091, 32.552181854363305"
HRYR,KGL,Kigali International Airport,Kigali,Rwanda,"-1.9634206534907637, 30.134885554368214"
FALE,DUR,King Shaka International Airport,Durban,South Africa,"-29.615019494399593, 31.109674253491733"
DGAA,ACC,Kotoka International Airport,Accra,Ghana,"5.606116850979243, -0.16817714565211345"
GOOY,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,"27.40050208599375, 19.84878052961335"
GFLL,FNA,Lungi International Airport,Freetown,Sierra Leone,"8.614080409434521, -13.202495645652583"
HELX,LXR,Luxor International Airport,Luxor,Egypt,"25.67469392280424, 32.69991855442714"
DNKN,KAN,Mallam Aminu International Airport,Kano,Nigeria,"12.045670576680024, 8.522021654352232"
FQMA,MPM,Maputo Airport,Maputo,Mozambique,"-25.923851185049877, 32.5746395546084"
GABS,BKO,Modibo Keita International Airport,Bamako,Mali,"12.541414536820625, -7.946267145646557"
GMMN,CMN,Mohammed V International Airport,Casablanca,Morocco,"33.369988300877736, -7.585776745492893"
HKMO,MBA,Mombasa Moi International Airport,Mombasa,Kenya,"11.878540888656763, 12.218570368824475"
DNMM,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,"6.581839811491663, 3.321081154347256"
FTTJ,NDJ,N'Djamena International Airport,N'Djamena,Chad,"6.581914337496388, 3.320920198370914"
FZAA,FIH,Ndjili International Airport,Kinshasa,Congo (Kinshasa),"-4.389715102080322, 15.445925454380747"
DNAA,ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,"9.006071686677682, 7.269448754347789"
GQNO,NKC,Nouakchott–Oumtounsy International Airport,Nouakchott,Mauritania,"14.413529478228819, -5.68024951465405"
FAOR,JNB,OR Tambo International Airport,Johannesburg,South Africa,"-26.132187939441508, 28.242160206149574"
DFFD,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,"12.35501435199154, -1.5140476456470402"
FNLU,LAD,Quatro de Fevereiro Airport,Luanda,Angola,"1.7197052682345968, 4.303226309717545"
FVRG,HRE,Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,"-17.918679170910792, 31.098808054499745"
GLRB,ROB,Roberts International Airport,Monrovia,Liberia,"6.240169826022404, -10.353486345652586"
FSIA,SEZ,Seychelles International Airport,Mahe Island,Seychelles,"-4.671033010199405, 55.511390354382286"
FIMP,MRU,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Mauritius,"-20.433441378801536, 57.67867295453105"
FBSK,GBE,Sir Seretse Khama International Airport,Gaborone,Botswana,"-24.557566567495982, 25.924048054587768"
HLLT,TIP,Tripoli International Airport,Tripoli,Libya,"32.669462044047314, 13.15661335449862"
DTTA,TUN,Tunis Carthage International Airport,Tunis,Tunisia,"36.84757335109603, 10.217506454551781"
