ICAO,IATA,Name,Municipality,Country,
EKYT,AAL,Aalborg Airport,Aalborg,Denmark,"57.09127827697329, 9.864357707359076"
EGPD,ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,"57.203726603593, -2.2002685450909283"
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,"40.4983484963034, -3.5676518453957757"
LEAL,ALC,Alicante International Airport,Alicante,Spain,"38.285109722603636, -0.5625517454282206"
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,The Netherlands,"52.32382327141157, 4.755566006123214"
LFOA,,Avord (BA 702) Air Base,Avord,France,"47.043952801209535, 2.638030854711551"
LEBL,BCN,Barcelona–El Prat Airport,Barcelona,Spain,"41.29746110028369, 2.083240454616437"
LIBD,BRI,Bari Karol Wojtyła Airport,Bari,Italy,"41.135009440386185, 16.766314454613934"
EGAA,BFS,Belfast International Airport,Belfast,United Kingdom,"54.64203789779725, -6.048471488751523"
LYBE,BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia,"44.82104249928491, 20.291093554673225"
ENBR,BGO,Bergen Airport Flesland,Bergen,Norway,"60.29724551123657, 5.235793502876973"
EDDB,SXF,Berlin-Schönefeld Airport,Berlin,Germany,"52.366537001797056, 13.50869295979435"
EDDT,TXL,Berlin-Tegel Airport,Berlin,Germany,"52.4961705383635, 13.362563021089182"
EKBI,BLL,Billund Airport,Billund,Denmark,"55.74407440213752, 9.1484365069073"
EGBB,BHX,Birmingham International Airport,Birmingham,United Kingdom,"33.56185631119869, -86.75325664549061"
ENBO,BOO,Bodø Airport,Bodø,Norway,"67.27053112206848, 14.365341658686141"
LIPE,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,"44.5345368747305, 11.287805654668455"
LFBD,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,"44.39679855882007, 5.064065017275415"
UWKG,,Borisoglebskoye Airport,Kazan,Russia,"55.86635422102659, 49.131995754881174"
UKBB,KBP,Boryspil International Airport,Kiev,Ukraine,"50.338235674913385, 30.893873754771704"
EGHH,BOH,Bournemouth Airport,Bournemouth,United Kingdom,"50.781070746896404, -1.841075845219949"
EDDW,BRE,Bremen Airport,Bremen,Germany,"53.05555061647309, 8.783311806033705"
EGGD,BRS,Bristol Airport,Bristol,United Kingdom,"51.383371080536406, -2.715197275298606"
EBBR,BRU,Brussels Airport,Brussels,Belgium,"50.899587512497824, 4.483614054782324"
EBCI,CRL,Brussels South Charleroi Airport,Brussels,Belgium,"50.423517709122564, 4.439512543227466"
LHBP,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,"47.43847319275087, 19.252242154718534"
LBBG,BOJ,Burgas Airport,Burgas,Bulgaria,"42.56834999096413, 27.512507964657903"
LIEE,CAG,Cagliari Elmas Airport,Cagliari,Italy,"40.06463041347042, 8.951122916245492"
EGFF,CWL,Cardiff International Airport,Cardiff,United Kingdom,"51.39474530402537, -3.338309975284481"
LICC,CTA,Catania-Fontanarossa Airport,Catania,Italy,"37.4739987448832, 15.068237551792606"
LFPG,CDG,Paris-Charles de Gaulle Airport,Paris,France,"49.01259263545418, 2.559128243150854"
LIRA,CIA,"Rome–Ciampino International Airport ""G. B. Pastine""",Rome,Italy,"49.01259263545418, 2.559128243150854"
EDDK,CGN,Cologne Bonn Airport,Cologne,Germany,"50.866636322067414, 7.141189454781662"
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,"55.632817338388286, 12.648164451022982"
EPWR,WRO,Copernicus Airport Wrocław,Wrocław,Poland,"51.104178852981754, 16.880879454786154"
EICK,ORK,Cork Airport,Cork,Ireland,"51.84930899125266, -8.485324224717655"
UUDD,DME,Domodedovo International Airport,Moscow,Russia,"55.41031906188988, 37.902397654871656"
EDLW,DTM,Dortmund Airport,Dortmund,Germany,"51.51932872070493, 7.603720755491081"
EDDC,DRS,Dresden Airport,Dresden,Germany,"51.12412113370498, 13.754765824380227"
EIDW,DUB,Dublin Airport,Dublin,Ireland,"53.42618050574106, -6.2395492227164215"
EDDL,DUS,Düsseldorf Airport,Düsseldorf,Germany,"51.28274116490948, 6.772634024576553"
EGNX,EMA,East Midlands Airport,Nottingham,United Kingdom,"52.83503450419095, -1.3270047378095087"
