ICAO,IATA,Name,Municipality,Country,"Lat, Long"
KSPI,SPI,Abraham Lincoln Capital Airport,Springfield,United States,"39.84393295447921, -89.67844874540559"
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,United States,"35.043350848131084, -106.61296214547205"
KAVL,AVL,Asheville Regional Airport,Asheville,United States,"35.43491366342434, -82.53790774546697"
KAGS,AGS,Augusta Regional At Bush Field,Augusta,United States,"33.369997800875986, -81.96522374549298"
KAUS,AUS,Austin Bergstrom International Airport,Austin,United States,"30.197498900528064, -97.66635290134609"
KGRB,GRB,Austin Straubel International Airport,Green Bay,United States,"44.49237784585273, -88.12774337231252"
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,"39.17990791821707, -76.66931892904893"
KBGR,BGR,Bangor International Airport,Bangor,United States,"44.808198814463736, -68.8165035011438"
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,"34.73071369780309, -92.22167455896621"
KBIL,BIL,Billings Logan International Airport,Billings,United States,"45.80356043417673, -108.53796784531008"
KBHM,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,"33.56247158156743, -86.75413673014417"
KLEX,LEX,Blue Grass Airport,Lexington,United States,"38.03777837987893, -84.6025868435754"
KBFI,BFI,Boeing Field King County International Airport,Seattle,United States,"47.536911522381544, -122.30386622993316"
KBOI,BOI,Boise Air Terminal/Gowen Field,Boise,United States,"43.56584640092133, -116.22230517232786"
KBDL,BDL,Bradley International Airport,Hartford,United States,"41.93901451139697, -72.68615405209408"
KBUF,BUF,Buffalo Niagara International Airport,Buffalo,United States,"42.93972158769146, -78.72950670117461"
CYYC,YYC,Calgary International Airport,Calgary,Canada,"51.13414856717454, -114.00662852761623"
MMUN,CUN,Cancún International Airport,Cancún,Mexico,"21.041773379988374, -86.87402765909837"
KBMI,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,United States,"40.478885326817434, -88.91872083829732"
KCHS,CHS,Charleston Air Force Base-International Airport,Charleston,United States,"32.89431262456177, -80.03820191666208"
KCLT,CLT,Charlotte Douglas International Airport,Charlotte,United States,"35.21445517304317, -80.94732533012333"
KMDW,MDW,Chicago Midway International Airport,Chicago,United States,"41.78683187738683, -87.75217767235627"
KORD,ORD,Chicago O'Hare International Airport,Chicago,United States,"41.98034378357826, -87.90905154537296"
KRFD,RFD,Chicago Rockford International Airport,Chicago/Rockford,United States,"42.20187347014923, -89.09585118769625"
KCVG,CVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,United States,"39.05087686620157, -84.66715553447267"
